//X,Y,Z,ObjIdx
-25.02322197,2.60177732,0.87853956,31.000000
-118.70889282,13.07447243,4.17046356,0.000000
-117.64468384,13.68339825,4.13593149,0.000000
-116.59797668,14.28232384,4.10211706,0.000000
-116.51396179,14.99335861,4.10230255,0.000000
-116.96188354,15.77615166,4.12138128,0.000000
-117.41397095,16.56627846,4.14079380,0.000000
-117.87041473,17.36398315,4.16054726,0.000000
-118.33124542,18.16934586,4.18063116,0.000000
-22.80304718,6.86749029,0.83162946,0.000000
-22.53044891,6.93541002,0.82321852,0.000000
-22.11689377,6.95593739,0.80963635,0.000000
-21.64927673,6.95414066,0.79405409,0.000000
-20.91804695,6.86014652,0.76875561,0.000000
-20.49042892,6.85850573,0.75456405,0.000000
-20.31320190,6.93715811,0.74958146,0.000000
-19.94535065,6.94752932,0.73755264,0.000000
-19.55656242,6.94602537,0.72473097,0.000000
-19.18097687,6.94456053,0.71236587,0.000000
-18.81804657,6.94315434,0.70044446,0.000000
-18.22203064,6.84971666,0.67979902,0.000000
-17.89316368,6.85082006,0.66907364,0.000000
-17.79843712,6.93920898,0.66710222,0.000000
-17.47976494,6.93797827,0.65672958,0.000000
-17.17078018,6.93678713,0.64669877,0.000000
-16.87113190,6.93561506,0.63699383,0.000000
-16.58031273,6.93450165,0.62759811,0.000000
-16.08175659,6.84143543,0.61029339,0.000000
-15.81113243,6.84038067,0.60159343,0.000000
-15.61744118,6.86986303,0.59577864,0.000000
-15.53831959,6.94838858,0.59437025,0.000000
-15.52421856,7.05590820,0.59548903,0.000000
-15.52376938,7.17018557,0.59713608,0.000000
-15.52332020,7.28508759,0.59881270,0.000000
-15.52289009,7.40065432,0.60052443,0.000000
-15.52242184,7.51687479,0.60226882,0.000000
-15.52195263,7.63378906,0.60404557,0.000000
-15.52152348,7.75137663,0.60585493,0.000000
-15.52105427,7.86969709,0.60769665,0.000000
-15.52060509,7.98872042,0.60957259,0.000000
-15.52013683,8.10851574,0.61148846,0.000000
-15.51964855,8.22905254,0.61343151,0.000000
-15.51919842,8.35037136,0.61541307,0.000000
-15.51873016,8.47247982,0.61743027,0.000000
-15.51824188,8.59539032,0.61948407,0.000000
-16.33554649,9.17862320,0.65433025,0.000000
-16.33503914,9.30975533,0.65657085,0.000000
-16.33453178,9.44182587,0.65885085,0.000000
-16.33400345,9.57480431,0.66117173,0.000000
-16.33347702,9.70871067,0.66353345,0.000000
-16.33296776,9.84361267,0.66593671,0.000000
-16.33244133,9.97947216,0.66838300,0.000000
-16.33191299,10.11635685,0.67087203,0.000000
-16.33136749,10.25426769,0.67340499,0.000000
-16.33083916,10.39322281,0.67598188,0.000000
-16.33027267,10.53325176,0.67860395,0.000000
-16.32972527,10.67437458,0.68127364,0.000000
-16.32917976,10.81662083,0.68398786,0.000000
-16.32863235,10.96001911,0.68674999,0.000000
-16.32808495,11.10457039,0.68956035,0.000000
-16.32751846,11.25032234,0.69241929,0.000000
-16.32691383,11.39729500,0.69532639,0.000000
-16.32636642,11.54549789,0.69828659,0.000000
-16.32578087,11.69499016,0.70129651,0.000000
-16.32519531,11.84577084,0.70435929,0.000000
-16.32458878,11.99788094,0.70747727,0.000000
-16.32398415,12.15137672,0.71064377,0.000000
-16.32339859,12.30621052,0.71387070,0.000000
-16.32279205,12.46249008,0.71715194,0.000000
-16.32216835,12.62023449,0.72049147,0.000000
-16.32156181,12.77943325,0.72388840,0.000000
-16.32093620,12.94015598,0.72734571,0.000000
-16.32031250,13.10244083,0.73086041,0.000000
-16.31968689,13.26629829,0.73443985,0.000000
-16.31904221,13.43175793,0.73808211,0.000000
-16.31839752,13.59888649,0.74178571,0.000000
-16.31773376,13.76771450,0.74555707,0.000000
-16.12191391,13.77156258,0.74042827,0.000000
-15.92347622,13.77080059,0.73515546,0.000000
-15.72785091,13.77003860,0.72998488,0.000000
-15.58054638,13.80969715,0.72704113,0.000000
-15.49765587,13.90581036,0.72711438,0.000000
-2.93589830,2.66684556,0.13850738,0.000000
-2.90636706,2.67252922,0.13787933,0.000000
-2.88507795,2.68558598,0.13764389,0.000000
-2.87517571,2.70923829,0.13795638,0.000000
-2.88152337,2.74857426,0.13906173,0.000000
-15.49357414,14.95997047,0.75210249,0.000000
-15.49285126,15.14281178,0.75653577,0.000000
-15.49214840,15.32782173,0.76103956,0.000000
-15.49142551,15.51506805,0.76563519,0.000000
-15.58386707,15.79906178,0.77494705,0.000000
