//X,Y,Z,ObjIdx
-18.98833847,0.00001953,0.66308773,0.000000
-19.03019524,0.11599609,0.66456264,0.000000
-19.07222557,0.23246093,0.66606599,0.000000
-19.11445236,0.34953123,0.66760433,0.000000
-19.15683556,0.46708983,0.66917294,0.000000
-19.19949150,0.58523434,0.67077696,0.000000
-19.24230385,0.70392579,0.67240846,0.000000
-19.28536987,0.82322264,0.67407620,0.000000
-19.32859421,0.94312495,0.67577147,0.000000
-19.37208939,1.06361330,0.67750579,0.000000
-19.41580009,1.18472648,0.67927456,0.000000
-19.54779243,1.31242180,0.68422359,0.000000
-20.39880753,1.49447262,0.71425110,0.000000
-20.44523430,1.62320304,0.71620911,0.000000
-20.49193382,1.75265622,0.71820587,0.000000
-20.53888702,1.88283193,0.72024018,0.000000
-20.58611298,2.01374984,0.72231627,0.000000
-20.63363266,2.14541006,0.72442502,0.000000
-20.68142509,2.27787113,0.72657710,0.000000
-20.72951126,2.41113281,0.72877228,0.000000
-20.77787018,2.54513669,0.73100340,0.000000
-20.82652283,2.68005848,0.73327571,0.000000
-20.87550735,2.81580067,0.73559171,0.000000
-20.92482376,2.95236325,0.73794675,0.000000
-20.97443390,3.08982420,0.74034786,0.000000
-21.02435493,3.22822261,0.74279326,0.000000
-21.07460976,3.36755848,0.74527556,0.000000
-21.12517548,3.50777340,0.74781007,0.000000
-21.17615128,3.64898419,0.75038362,0.000000
-21.22744179,3.79117179,0.75300843,0.000000
-21.27910042,3.93437481,0.75567746,0.000000
-21.33115196,4.07859373,0.75839508,0.000000
-21.38355446,4.22382784,0.76115781,0.000000
-21.43634796,4.37015629,0.76397061,0.000000
-21.48954964,4.51755857,0.76683563,0.000000
-21.54314423,4.66613293,0.76974732,0.000000
-21.59714890,4.81578112,0.77271241,0.000000
-21.65156174,4.96664047,0.77572781,0.000000
-21.70640564,5.11867189,0.77879912,0.000000
-21.76165962,5.27189445,0.78191710,0.000000
-21.81742096,5.42636728,0.78509182,0.000000
-21.87359238,5.58212900,0.78832668,0.000000
-21.93025398,5.73916006,0.79161251,0.000000
-21.81710815,5.85181618,0.78879911,0.000000
-21.59249878,5.93287086,0.78197205,0.000000
-21.37166023,6.01251936,0.77528805,0.000000
-21.25937462,6.12097645,0.77255124,0.000000
-21.24607468,6.25763655,0.77344418,0.000000
-21.30314445,6.41576147,0.77692777,0.000000
-21.36074257,6.57533169,0.78047758,0.000000
-21.41884804,6.73642540,0.78408474,0.000000
-21.47749901,6.89898443,0.78776151,0.000000
-21.53667831,7.06310511,0.79149228,0.000000
-21.59646416,7.22873020,0.79529268,0.000000
-21.65681648,7.39601564,0.79916137,0.000000
-21.71781158,7.56494141,0.80309600,0.000000
-21.77937508,7.73552704,0.80710018,0.000000
-24.09873009,8.72509766,0.89500642,0.000000
-23.92208862,8.82642555,0.89042479,0.000000
-23.74724579,8.92669868,0.88592678,0.000000
-23.63095665,9.04771423,0.88362670,0.000000
-23.75326157,9.26091766,0.89029419,0.000000
-23.87738228,9.47732353,0.89709318,0.000000
-24.00345612,9.69714832,0.90403563,0.000000
-24.13154221,9.92031193,0.91112000,0.000000
-24.26165962,10.14710903,0.91834623,0.000000
-24.39382744,10.37749958,0.92572904,0.000000
-24.52808571,10.61160088,0.93326169,0.000000
-24.66458893,10.84958935,0.94095761,0.000000
-24.80335808,11.09152317,0.94881284,0.000000
-24.94451141,11.33753872,0.95683652,0.000000
-25.08806610,11.58783150,0.96503079,0.000000
-25.23408127,11.84238243,0.97340512,0.000000
-25.38265610,12.10140610,0.98196501,0.000000
-25.53390503,12.36503887,0.99070799,0.000000
-25.68785095,12.63341808,0.99965268,0.000000
-25.84458923,12.90669918,1.00879514,0.000000
-26.00427628,13.18503857,1.01814663,0.000000
-58.91691208,30.32558441,2.31396484,0.000000
-59.00380707,30.82663918,2.32471824,0.000000
-59.09154129,31.33234215,2.33565092,0.000000
-59.18009567,31.84285164,2.34677505,0.000000
-59.26948929,32.35828018,2.35809493,0.000000
-59.35974503,32.87871170,2.36962771,0.000000
-59.45089722,33.40429688,2.38133669,0.000000
-59.66138458,34.00257874,2.39801836,0.000000
-59.75458908,34.53982162,2.41018844,0.000000
-59.84870911,35.08255768,2.42256474,0.000000
-59.82482147,35.56019592,2.43032789,0.000000
-59.92074203,36.11326218,2.44310927,0.000000
-21.84628868,13.34855461,0.89402831,0.000000
-21.69246101,13.43677711,0.89107084,0.000000
-21.53960800,13.52447224,0.88816249,0.000000
-21.38777351,13.61158180,0.88530606,0.000000
-21.23691368,13.69810486,0.88249874,0.000000
-21.08699226,13.78410149,0.87974209,0.000000
-20.93802643,13.86956978,0.87703764,0.000000
-20.78990173,13.95451164,0.87438351,0.000000
-20.64275360,14.03892517,0.87177032,0.000000
-20.49642563,14.12285137,0.86921263,0.000000
-20.35093689,14.20632744,0.86669797,0.000000
-20.20630836,14.28927708,0.86423063,0.000000
-20.06245995,14.37175751,0.86180604,0.000000
-19.91945267,14.45382786,0.85943449,0.000000
-19.77720642,14.53540993,0.85710233,0.000000
-19.73361206,14.68939400,0.85907161,0.000000
-19.64406204,14.80966759,0.85909271,0.000000
-19.55392456,14.92953110,0.85911375,0.000000
